Row_id,State,Agency_Type,Agency_name,Total_incidents_bias_motivation,Bias_Motivation_Race_Ethnicity_Ancestry,Bias_Motivation_Religion,Bias_Motivation_Sexual_orientation,Bias_Motivation_Disability,Bias_Motivation_Gender,Bias_Motivation_Gender_Identity,Total_incidents_Q1_to_Q4,No_of_incidents_Q1,No_of_incidents_Q2,No_of_incidents_Q3,No_of_incidents_Q4,Population,agency_with_state,agency_with_state_clean,lon,lat
557,Kentucky,Cities,Paris3,4,3,0,1,0,0,0,3,2,1,0,0,9809,"Paris3, Kentucky","Paris3, Kentucky",-84.2529869,38.2097987
558,Kentucky,Cities,Radcliff,3,3,0,0,0,0,0,3,0,1,2,0,22576,"Radcliff, Kentucky","Radcliff, Kentucky",-85.9491298,37.8403456
559,Kentucky,Cities,Richmond,3,3,0,0,0,0,0,3,0,3,0,0,35952,"Richmond, Kentucky","Richmond, Kentucky",-84.2946539,37.7478572
560,Kentucky,Cities,Russell Springs,1,1,0,0,0,0,0,1,0,0,1,0,2588,"Russell Springs, Kentucky","Russell Springs, Kentucky",-85.0885667,37.0561788
561,Kentucky,Cities,Russellville,1,1,0,0,0,0,0,1,0,0,1,0,7088,"Russellville, Kentucky","Russellville, Kentucky",-86.887219,36.8453199
562,Kentucky,Cities,Shelbyville,1,1,0,0,0,0,0,1,0,0,0,1,16138,"Shelbyville, Kentucky","Shelbyville, Kentucky",-85.2235666,38.2120144
563,Kentucky,Cities,St. Matthews,1,1,0,0,0,0,0,1,0,1,0,0,18228,"St. Matthews, Kentucky","St. Matthews, Kentucky",-85.63577889999999,38.2435659
564,Kentucky,Cities,Taylorsville,1,1,0,0,0,0,0,1,0,1,0,0,1262,"Taylorsville, Kentucky","Taylorsville, Kentucky",-85.3424533,38.0317304
565,Kentucky,Cities,Tompkinsville,1,1,0,0,0,0,0,1,0,0,0,1,2267,"Tompkinsville, Kentucky","Tompkinsville, Kentucky",-85.6916396,36.7022797
566,Kentucky,Cities,Uniontown,1,1,0,0,0,0,0,1,1,0,0,0,943,"Uniontown, Kentucky","Uniontown, Kentucky",-87.93058270000002,37.7753214
567,Kentucky,Cities,Versailles,3,2,1,0,0,0,0,3,0,0,1,2,26552,"Versailles, Kentucky","Versailles, Kentucky",-84.7299464,38.05257599999999
568,Kentucky,Cities,Vine Grove,1,1,0,0,0,0,0,1,0,1,0,0,6237,"Vine Grove, Kentucky","Vine Grove, Kentucky",-85.98135239999999,37.8100674
569,Kentucky,Cities,Williamsburg,1,1,0,0,0,0,0,1,0,0,1,0,5299,"Williamsburg, Kentucky","Williamsburg, Kentucky",-84.15965609999999,36.7434169
570,Kentucky,Cities,Wilmore,2,1,0,1,0,0,0,2,1,0,1,0,6406,"Wilmore, Kentucky","Wilmore, Kentucky",-84.6616105,37.8620226
571,Kentucky,Cities,Winchester,1,0,0,1,0,0,0,1,0,1,0,0,18505,"Winchester, Kentucky","Winchester, Kentucky",-84.17965029999999,37.990079
572,Kentucky,Universities and Colleges,Morehead State University,1,1,0,0,0,0,0,1,1,0,0,0,12390,"Morehead State University, Kentucky","Morehead State University, Kentucky",-83.4315122,38.1886162
573,Kentucky,Universities and Colleges,University of Kentucky,1,0,0,0,0,1,0,1,0,0,0,1,31564,"University of Kentucky, Kentucky","University of Kentucky, Kentucky",-84.5039697,38.0306511
574,Kentucky,Universities and Colleges,University of Louisville,2,2,0,0,0,0,0,2,0,1,1,0,25091,"University of Louisville, Kentucky","University of Louisville, Kentucky",-85.75850229999999,38.2122761
575,Kentucky,Metropolitan Counties,Boone,7,6,1,0,0,0,0,7,1,2,0,4,NA,"Boone, Kentucky","Boone, Kentucky",-84.7315563,38.9940572
576,Kentucky,Metropolitan Counties,Bourbon,1,0,1,0,0,0,0,1,0,0,1,0,NA,"Bourbon, Kentucky","Bourbon, Kentucky",-85.575899,38.22448199999999
577,Kentucky,Metropolitan Counties,Boyd,4,3,1,0,0,0,0,4,0,2,1,1,NA,"Boyd, Kentucky","Boyd, Kentucky",-82.6915429,38.3833265
578,Kentucky,Metropolitan Counties,Campbell County Police Department,2,2,0,0,0,0,0,2,0,0,1,1,NA,"Campbell County Police Department, Kentucky","Campbell County Police Department, Kentucky",-84.3924359,38.949782
579,Kentucky,Metropolitan Counties,Gallatin,1,1,0,0,0,0,0,1,0,0,1,0,NA,"Gallatin, Kentucky","Gallatin, Kentucky",-84.87763919999999,38.7295069
580,Kentucky,Metropolitan Counties,Jessamine,1,1,0,0,0,0,0,1,0,0,1,0,NA,"Jessamine, Kentucky","Jessamine, Kentucky",-84.56414699999999,37.895573
581,Kentucky,Metropolitan Counties,Oldham County Police Department,2,1,1,0,0,0,0,2,1,0,0,1,NA,"Oldham County Police Department, Kentucky","Oldham County Police Department, Kentucky",-85.4418108,38.3956872
582,Kentucky,Metropolitan Counties,Scott,1,1,0,0,0,0,0,1,0,0,0,1,NA,"Scott, Kentucky","Scott, Kentucky",-84.56414699999999,38.3172361
583,Kentucky,Metropolitan Counties,Shelby,1,1,0,0,0,0,0,1,0,0,0,1,NA,"Shelby, Kentucky","Shelby, Kentucky",-85.2308414,38.1778076
584,Kentucky,Metropolitan Counties,Warren,2,2,0,0,0,0,0,2,2,0,0,0,NA,"Warren, Kentucky","Warren, Kentucky",-86.49965460000001,36.9886043
585,Kentucky,Nonmetropolitan Counties,Boyle,2,2,0,0,0,0,0,2,0,0,2,0,NA,"Boyle, Kentucky","Boyle, Kentucky",-84.8150781,37.6526034
586,Kentucky,Nonmetropolitan Counties,Clay,1,0,1,0,0,0,0,1,0,0,0,1,NA,"Clay, Kentucky","Clay, Kentucky",-87.8200159,37.4767119
587,Kentucky,Nonmetropolitan Counties,Franklin,1,1,0,0,0,0,0,1,0,1,0,0,NA,"Franklin, Kentucky","Franklin, Kentucky",-86.57721769999999,36.722263
588,Kentucky,Nonmetropolitan Counties,Garrard County Police Department,1,0,0,1,0,0,0,1,0,1,0,0,NA,"Garrard County Police Department, Kentucky","Garrard County Police Department, Kentucky",-84.5790403,37.6189154
589,Kentucky,Nonmetropolitan Counties,Hart,1,1,0,0,0,0,0,1,0,1,0,0,NA,"Hart, Kentucky","Hart, Kentucky",-85.84862360000001,37.3101304
590,Kentucky,Nonmetropolitan Counties,Laurel,1,0,1,0,0,0,0,1,1,0,0,0,NA,"Laurel, Kentucky","Laurel, Kentucky",-84.1857115,37.0693489
591,Kentucky,Nonmetropolitan Counties,Lee,1,1,0,0,0,0,0,1,0,0,1,0,NA,"Lee, Kentucky","Lee, Kentucky",-83.7199136,37.599443
592,Kentucky,Nonmetropolitan Counties,McCracken,3,1,0,0,0,2,0,3,1,0,2,0,NA,"McCracken, Kentucky","McCracken, Kentucky",-88.7108964,37.03306070000001
593,Kentucky,Nonmetropolitan Counties,Montgomery,1,1,0,0,0,0,0,1,1,0,0,0,NA,"Montgomery, Kentucky","Montgomery, Kentucky",-83.8897057,38.0314578
594,Kentucky,Nonmetropolitan Counties,Pulaski,2,2,0,0,0,0,0,2,1,0,0,1,NA,"Pulaski, Kentucky","Pulaski, Kentucky",-84.5222189,37.0853508
595,Kentucky,Nonmetropolitan Counties,Whitley,1,1,0,0,0,0,0,1,0,0,1,0,NA,"Whitley, Kentucky","Whitley, Kentucky",-84.1857115,36.726335
596,Kentucky,State Police Agencies,State Police: Ashland,1,0,1,0,0,0,0,1,1,0,0,0,NA,"State Police: Ashland, Kentucky","Ashland, Kentucky",-82.6904356,38.4372128
597,Kentucky,State Police Agencies,State Police: Bowling Green,1,1,0,0,0,0,0,1,0,0,0,1,NA,"State Police: Bowling Green, Kentucky","Bowling Green, Kentucky",-86.4772216,36.9504787
598,Kentucky,State Police Agencies,State Police: Campbellsburg,3,3,0,0,0,0,0,3,1,0,2,0,NA,"State Police: Campbellsburg, Kentucky","Campbellsburg, Kentucky",-85.23157669999999,38.5165258
599,Kentucky,State Police Agencies,State Police: Cannabis Suppression Section,1,1,0,0,0,0,0,1,0,0,1,0,NA,"State Police: Cannabis Suppression Section, Kentucky","Cannabis Suppression Section, Kentucky",-84.2700179,37.8393332
600,Kentucky,State Police Agencies,State Police: Dry Ridge,1,1,0,0,0,0,0,1,0,0,1,0,NA,"State Police: Dry Ridge, Kentucky","Dry Ridge, Kentucky",-84.5908906,38.7150224
601,Kentucky,State Police Agencies,State Police: Elizabethtown,3,3,0,0,0,0,0,3,1,1,0,1,NA,"State Police: Elizabethtown, Kentucky","Elizabethtown, Kentucky",-85.86017559999999,37.6690033
602,Kentucky,State Police Agencies,State Police: Frankfort,2,2,0,0,0,0,0,2,0,1,1,0,NA,"State Police: Frankfort, Kentucky","Frankfort, Kentucky",-84.8993369,38.1791876
603,Kentucky,State Police Agencies,State Police: Hazard,3,3,0,0,0,0,0,3,0,0,2,1,NA,"State Police: Hazard, Kentucky","Hazard, Kentucky",-83.21653909999999,37.2980978
604,Kentucky,State Police Agencies,State Police: Madisonville,1,1,0,0,0,0,0,1,0,1,0,0,NA,"State Police: Madisonville, Kentucky","Madisonville, Kentucky",-87.4904742,37.3776261
605,Kentucky,State Police Agencies,State Police: Morehead,2,2,0,0,0,0,0,2,0,1,1,0,NA,"State Police: Morehead, Kentucky","Morehead, Kentucky",-83.4767117,38.1865667
606,Kentucky,State Police Agencies,State Police: West Drug Enforcement Branch,2,2,0,0,0,0,0,2,0,0,1,1,NA,"State Police: West Drug Enforcement Branch, Kentucky","West Drug Enforcement Branch, Kentucky",-87.4904742,37.3776261
607,Kentucky,Other Agencies,Cincinnati-Northern Kentucky International Airport,1,1,0,0,0,0,0,1,1,0,0,0,NA,"Cincinnati-Northern Kentucky International Airport, Kentucky","Cincinnati-Northern Kentucky International Airport, Kentucky",-84.6630165,39.0532746
608,Kentucky,Other Agencies,Fayette County Schools,1,1,0,0,0,0,0,1,0,0,0,1,NA,"Fayette County Schools, Kentucky","Fayette County Schools, Kentucky",-84.4802606,38.06064780000001
609,Kentucky,Other Agencies,Greater Hardin County Narcotics Task Force,1,1,0,0,0,0,0,1,1,0,0,0,NA,"Greater Hardin County Narcotics Task Force, Kentucky","Greater Hardin County Narcotics Task Force, Kentucky",-85.8991039,37.6815435
610,Kentucky,Other Agencies,Jefferson County School District,1,1,0,0,0,0,0,1,1,0,0,0,NA,"Jefferson County School District, Kentucky","Jefferson County School District, Kentucky",-85.64348700000001,38.1938097
611,Kentucky,Other Agencies,South Central Kentucky Drug Task Force,3,3,0,0,0,0,0,3,0,0,3,0,NA,"South Central Kentucky Drug Task Force, Kentucky","South Central Kentucky Drug Task Force, Kentucky",-86.9207268,36.8514515
612,Louisiana,Cities,Franklinton,1,1,0,0,0,0,0,1,0,NA,1,0,3771,"Franklinton, Louisiana","Franklinton, Louisiana",-90.15314099999999,30.8471283
613,Louisiana,Cities,Gonzales,1,1,0,0,0,0,0,1,0,0,1,0,10916,"Gonzales, Louisiana","Gonzales, Louisiana",-90.9200987,30.2385294
614,Louisiana,Cities,Monroe,4,1,3,0,0,0,0,4,1,1,1,1,48291,"Monroe, Louisiana","Monroe, Louisiana",-92.1193012,32.5093109
615,Louisiana,Cities,New Orleans,2,2,0,0,0,0,0,2,1,1,0,0,396374,"New Orleans, Louisiana","New Orleans, Louisiana",-90.0715323,29.95106579999999
616,Louisiana,Cities,Tallulah,1,1,0,0,0,0,0,1,0,1,0,0,6777,"Tallulah, Louisiana","Tallulah, Louisiana",-91.1867771,32.4084765
617,Louisiana,Cities,Westlake,1,1,0,0,0,0,0,1,1,0,0,NA,4627,"Westlake, Louisiana","Westlake, Louisiana",-93.25070989999999,30.2421496
618,Louisiana,Universities and Colleges,"Southern University and A&M College, New Orleans",1,0,0,1,0,0,0,1,0,0,0,1,3113,"Southern University and A&M College, New Orleans, Louisiana","Southern University and A&M College, New Orleans, Louisiana",-91.1929407,30.5265222
619,Louisiana,Metropolitan Counties,Bossier,4,2,2,0,0,0,0,4,0,2,2,0,NA,"Bossier, Louisiana","Bossier, Louisiana",-93.66232389999999,32.7551322
620,Louisiana,Metropolitan Counties,Calcasieu,9,2,5,2,0,0,0,9,4,2,3,0,NA,"Calcasieu, Louisiana","Calcasieu, Louisiana",-93.33889169999999,30.2089286
621,Louisiana,Metropolitan Counties,Lafourche,4,1,0,3,0,0,0,4,4,0,0,0,NA,"Lafourche, Louisiana","Lafourche, Louisiana",-90.52578229999999,29.6952295
622,Louisiana,Metropolitan Counties,Morehouse,1,0,0,0,0,1,0,1,0,1,0,0,NA,"Morehouse, Louisiana","Morehouse, Louisiana",-91.7538817,32.796224
623,Louisiana,Metropolitan Counties,Ouachita,2,0,2,0,0,0,0,2,0,0,1,1,NA,"Ouachita, Louisiana","Ouachita, Louisiana",-92.2236667,32.4271852
624,Louisiana,Metropolitan Counties,Rapides,2,2,0,0,0,0,0,2,1,1,0,0,NA,"Rapides, Louisiana","Rapides, Louisiana",-92.539603,31.1461104
625,Louisiana,Metropolitan Counties,St. John the Baptist,1,1,0,0,0,0,0,1,0,0,1,0,NA,"St. John the Baptist, Louisiana","St. John the Baptist, Louisiana",-90.4879916,30.1118331
626,Louisiana,Nonmetropolitan Counties,Concordia,2,1,1,0,0,0,0,2,1,0,0,1,NA,"Concordia, Louisiana","Concordia, Louisiana",-91.63721500000001,31.4808983
627,Louisiana,Nonmetropolitan Counties,Evangeline,6,6,0,0,0,0,0,6,0,0,6,0,NA,"Evangeline, Louisiana","Evangeline, Louisiana",-92.58427700000001,30.2577813
628,Louisiana,Nonmetropolitan Counties,Madison,2,2,0,0,0,0,0,2,0,1,0,1,NA,"Madison, Louisiana","Madison, Louisiana",-91.28910359999999,32.4401578
629,Louisiana,Nonmetropolitan Counties,Washington,1,1,0,0,0,0,0,1,1,0,0,0,NA,"Washington, Louisiana","Washington, Louisiana",-92.057063,30.6163073
630,Maine,Cities,Biddeford,1,1,0,0,0,0,0,1,0,1,0,0,21519,"Biddeford, Maine","Biddeford, Maine",-70.45338439999999,43.4925843
631,Maine,Cities,Eastport,1,1,0,0,0,0,0,1,0,0,1,0,1258,"Eastport, Maine","Eastport, Maine",-66.98997849999999,44.9061906
632,Maine,Cities,Lewiston,1,0,0,1,0,0,0,1,0,0,1,0,36170,"Lewiston, Maine","Lewiston, Maine",-70.21477639999999,44.100351
633,Maine,Cities,Portland,12,7,1,3,1,0,0,12,3,5,2,2,66997,"Portland, Maine","Portland, Maine",-70.2568189,43.6590993
634,Maine,Cities,Saco,2,1,0,1,0,0,0,2,0,1,0,1,19628,"Saco, Maine","Saco, Maine",-70.4428286,43.5009176
635,Maine,Cities,South Portland,1,1,0,0,0,0,0,1,1,0,0,0,25557,"South Portland, Maine","South Portland, Maine",-70.2408811,43.6414716
636,Maine,State Police Agencies,Maine State Police,2,0,0,1,0,0,1,2,2,0,0,0,NA,"Maine State Police, Maine","Maine State Police, Maine",-70.71768449999999,43.5114775
637,Maryland,Cities,Baltimore,1,0,0,1,0,0,0,1,0,0,1,0,605436,"Baltimore, Maryland","Baltimore, Maryland",-76.6121893,39.2903848
638,Maryland,Cities,Denton,1,1,0,0,0,0,0,1,0,1,0,0,4485,"Denton, Maryland","Denton, Maryland",-75.8271563,38.8845582
639,Maryland,Cities,Laurel,1,0,1,0,0,0,0,1,0,1,0,0,26038,"Laurel, Maryland","Laurel, Maryland",-76.8483061,39.0992752
640,Maryland,Cities,Riverdale Park3,2,1,1,0,0,0,0,1,0,0,0,1,7330,"Riverdale Park3, Maryland","Riverdale Park3, Maryland",-76.9316408,38.963444
641,Maryland,Cities,Takoma Park,1,0,0,1,0,0,0,1,0,1,0,0,18049,"Takoma Park, Maryland","Takoma Park, Maryland",-77.0074765,38.9778882
642,Maryland,Cities,Taneytown,1,1,0,0,0,0,0,1,0,0,0,1,6795,"Taneytown, Maryland","Taneytown, Maryland",-77.1744279,39.6578773
643,Maryland,Universities and Colleges,Towson University,1,1,0,0,0,0,0,1,0,0,0,1,25467,"Towson University, Maryland","Towson University, Maryland",-76.61263919999999,39.3925121
644,Maryland,Universities and Colleges,University of Maryland: Baltimore County,2,2,0,0,0,0,0,2,0,0,2,0,15700,"University of Maryland: Baltimore County, Maryland","University of Maryland, Baltimore County, Maryland",-76.7109674,39.2556759
645,Maryland,Universities and Colleges,University of Maryland: College Park,1,0,0,1,0,0,0,1,0,0,0,1,43691,"University of Maryland: College Park, Maryland","University of Maryland, College Park, Maryland",-76.9425543,38.9869183
646,Maryland,Metropolitan Counties,Anne Arundel County Police Department,6,3,0,1,0,0,2,6,2,1,3,0,NA,"Anne Arundel County Police Department, Maryland","Anne Arundel County Police Department, Maryland",-76.62550120000002,39.0993048
647,Maryland,Metropolitan Counties,Baltimore County Police Department,3,1,0,2,0,0,0,3,NA,0,3,0,NA,"Baltimore County Police Department, Maryland","Baltimore County Police Department, Maryland",-76.5888866,39.4003598
648,Maryland,Metropolitan Counties,Calvert,1,1,0,0,0,0,0,1,0,0,1,0,NA,"Calvert, Maryland","Calvert, Maryland",-76.5025742,38.49495030000001
649,Maryland,Metropolitan Counties,Charles,1,1,0,0,0,0,0,1,0,1,0,NA,NA,"Charles, Maryland","Charles, Maryland",-77.10249019999999,38.5221781
650,Maryland,Metropolitan Counties,Howard County Police Department,1,0,0,1,0,0,0,1,0,0,1,0,NA,"Howard County Police Department, Maryland","Howard County Police Department, Maryland",-76.80739810000001,39.27569
651,Maryland,Metropolitan Counties,Montgomery County Police Department,16,8,3,0,2,0,3,16,11,2,2,1,NA,"Montgomery County Police Department, Maryland","Montgomery County Police Department, Maryland",-77.2341388,39.1501159
652,Maryland,Metropolitan Counties,Prince George's County Police Department,6,2,2,2,0,0,0,6,1,1,3,1,NA,"Prince George's County Police Department, Maryland","Prince George's County Police Department, Maryland",-76.875539,38.918073
653,Maryland,Nonmetropolitan Counties,Kent,2,2,0,0,0,0,0,2,0,1,0,1,NA,"Kent, Maryland","Kent, Maryland",-76.1319953,39.2713804
654,Maryland,State Police Agencies,"State Police, Wicomico County",1,1,0,0,0,0,0,1,0,1,0,0,NA,"State Police, Wicomico County, Maryland","State Police, Wicomico County, Maryland",-75.5642694,38.4202743
655,Maryland,Other Agencies,Natural Resources Police,1,1,0,0,0,0,0,1,0,0,0,1,NA,"Natural Resources Police, Maryland","Natural Resources Police, Maryland",-76.4089707,39.0202189
656,Maryland,Other Agencies,Transit Administration,1,1,0,0,0,0,0,1,0,0,1,0,NA,"Transit Administration, Maryland","Transit Administration, Maryland",-76.555497,39.289468
657,Massachusetts,Cities,Acton,1,0,1,0,0,0,0,1,0,1,0,0,24038,"Acton, Massachusetts","Acton, Massachusetts",-71.43284,42.4850931
658,Massachusetts,Cities,Amherst,3,2,1,0,0,0,0,3,0,2,1,0,40242,"Amherst, Massachusetts","Amherst, Massachusetts",-72.5198537,42.3732216
659,Massachusetts,Cities,Andover,3,0,3,0,0,0,0,3,1,1,0,1,36324,"Andover, Massachusetts","Andover, Massachusetts",-71.1367953,42.6583356
660,Massachusetts,Cities,Arlington,9,4,4,1,0,0,0,9,4,2,3,0,45876,"Arlington, Massachusetts","Arlington, Massachusetts",-71.1564729,42.4153925
661,Massachusetts,Cities,Ashburnham,1,0,1,0,0,0,0,1,0,1,0,0,6335,"Ashburnham, Massachusetts","Ashburnham, Massachusetts",-71.90973939999999,42.635545
662,Massachusetts,Cities,Ashland,1,0,0,0,1,0,0,1,1,0,0,0,17860,"Ashland, Massachusetts","Ashland, Massachusetts",-71.4633956,42.2612067
663,Massachusetts,Cities,Ayer,2,1,1,0,0,0,0,2,1,1,0,0,8246,"Ayer, Massachusetts","Ayer, Massachusetts",-71.58990539999999,42.5611947
664,Massachusetts,Cities,Barnstable,3,1,2,0,0,0,0,3,0,0,1,2,44015,"Barnstable, Massachusetts","Barnstable, Massachusetts",-70.3002024,41.7003208
665,Massachusetts,Cities,Belmont3,3,2,0,1,0,0,0,2,0,0,1,1,26700,"Belmont3, Massachusetts","Belmont3, Massachusetts",-71.1776114,42.3956405
666,Massachusetts,Cities,Boston3,148,89,18,39,0,0,2,144,25,37,43,39,694673,"Boston3, Massachusetts","Boston3, Massachusetts",-71.0588801,42.3600825
667,Massachusetts,Cities,Boxford,1,0,1,0,0,0,0,1,0,0,0,1,8355,"Boxford, Massachusetts","Boxford, Massachusetts",-70.996726,42.6611604
668,Massachusetts,Cities,Braintree,3,1,2,0,0,0,0,3,0,0,2,1,37345,"Braintree, Massachusetts","Braintree, Massachusetts",-71.0040013,42.2079017
669,Massachusetts,Cities,Brockton,2,1,1,0,0,0,0,2,1,1,0,0,95922,"Brockton, Massachusetts","Brockton, Massachusetts",-71.0183787,42.0834335
670,Massachusetts,Cities,Brookline,2,2,0,0,0,0,0,2,1,1,0,0,59199,"Brookline, Massachusetts","Brookline, Massachusetts",-71.1211635,42.33176419999999
671,Massachusetts,Cities,Cambridge3,17,6,8,0,1,1,1,16,6,3,3,4,114881,"Cambridge3, Massachusetts","Cambridge3, Massachusetts",-71.10973349999999,42.3736158
672,Massachusetts,Cities,Chelmsford,3,2,1,0,0,0,0,3,1,1,0,1,35264,"Chelmsford, Massachusetts","Chelmsford, Massachusetts",-71.3672838,42.5998139
673,Massachusetts,Cities,Chicopee,1,1,0,0,0,0,0,1,0,0,1,0,55639,"Chicopee, Massachusetts","Chicopee, Massachusetts",-72.6078672,42.1487043
674,Massachusetts,Cities,Chilmark,1,0,0,0,0,1,0,1,1,0,0,0,923,"Chilmark, Massachusetts","Chilmark, Massachusetts",-70.74475009999999,41.3431688
675,Massachusetts,Cities,Cohasset,1,1,0,0,0,0,0,1,0,1,0,0,8665,"Cohasset, Massachusetts","Cohasset, Massachusetts",-70.8036544,42.24176749999999
676,Massachusetts,Cities,Concord3,2,1,1,0,0,0,0,4,0,0,0,4,19459,"Concord3, Massachusetts","Concord3, Massachusetts",-71.3489484,42.4603719
677,Massachusetts,Cities,Danvers,3,1,1,0,0,1,0,3,0,0,2,1,27703,"Danvers, Massachusetts","Danvers, Massachusetts",-70.93212199999999,42.5750009
678,Massachusetts,Cities,Dracut,1,1,0,0,0,0,0,1,0,1,0,0,31917,"Dracut, Massachusetts","Dracut, Massachusetts",-71.3020052,42.6703687
679,Massachusetts,Cities,Easthampton3,3,1,1,1,0,0,0,2,0,0,1,1,16050,"Easthampton3, Massachusetts","Easthampton3, Massachusetts",-72.66897999999999,42.266757
680,Massachusetts,Cities,Easton,1,1,0,0,0,0,0,1,0,0,0,1,25225,"Easton, Massachusetts","Easton, Massachusetts",-71.1286594,42.0245442
681,Massachusetts,Cities,Edgartown,2,1,0,0,1,0,0,2,0,0,1,1,4357,"Edgartown, Massachusetts","Edgartown, Massachusetts",-70.5133599,41.3890052
682,Massachusetts,Cities,Everett,1,0,1,0,0,0,0,1,0,1,0,0,47005,"Everett, Massachusetts","Everett, Massachusetts",-71.0536625,42.40843
683,Massachusetts,Cities,Falmouth3,2,1,1,0,0,0,0,1,1,0,0,0,31033,"Falmouth3, Massachusetts","Falmouth3, Massachusetts",-70.60858859999999,41.5532208
684,Massachusetts,Cities,Framingham,6,3,3,0,0,0,0,6,1,3,2,0,72510,"Framingham, Massachusetts","Framingham, Massachusetts",-71.4161565,42.279286
685,Massachusetts,Cities,Great Barrington,1,0,1,0,0,0,0,1,1,0,0,0,6821,"Great Barrington, Massachusetts","Great Barrington, Massachusetts",-73.362008,42.1959798
686,Massachusetts,Cities,Groton,1,0,1,0,0,0,0,1,0,0,1,0,11462,"Groton, Massachusetts","Groton, Massachusetts",-71.5745152,42.6112018
687,Massachusetts,Cities,Haverhill3,11,6,2,1,1,0,1,10,3,2,2,3,64012,"Haverhill3, Massachusetts","Haverhill3, Massachusetts",-71.0772796,42.7762015
688,Massachusetts,Cities,Holbrook,2,1,1,0,0,0,0,2,0,0,0,2,11052,"Holbrook, Massachusetts","Holbrook, Massachusetts",-71.014118,42.144846
689,Massachusetts,Cities,Lawrence,1,0,0,1,0,0,0,1,1,0,0,0,80669,"Lawrence, Massachusetts","Lawrence, Massachusetts",-71.1631137,42.7070354
690,Massachusetts,Cities,Lynn,2,0,1,0,0,0,1,2,0,0,2,0,94558,"Lynn, Massachusetts","Lynn, Massachusetts",-70.9494938,42.46676300000001
691,Massachusetts,Cities,Malden,1,1,0,0,0,0,0,1,0,0,1,0,61469,"Malden, Massachusetts","Malden, Massachusetts",-71.066163,42.4250964
692,Massachusetts,Cities,Medford,1,0,0,0,1,0,0,1,0,1,0,0,57997,"Medford, Massachusetts","Medford, Massachusetts",-71.1061639,42.4184296
693,Massachusetts,Cities,Melrose3,3,1,1,1,0,0,0,1,0,1,0,0,28552,"Melrose3, Massachusetts","Melrose3, Massachusetts",-71.0661633,42.4584292
694,Massachusetts,Cities,Milford,1,1,0,0,0,0,0,1,0,0,0,1,29056,"Milford, Massachusetts","Milford, Massachusetts",-71.5163049,42.1398577
695,Massachusetts,Cities,Millbury,1,0,1,0,0,0,0,1,0,1,0,0,13802,"Millbury, Massachusetts","Millbury, Massachusetts",-71.761522,42.19207189999999
696,Massachusetts,Cities,Monson,1,0,1,0,0,0,0,1,0,1,0,0,8890,"Monson, Massachusetts","Monson, Massachusetts",-72.3189519,42.1042451
697,Massachusetts,Cities,Nantucket,1,1,0,0,0,0,0,1,1,0,0,0,11388,"Nantucket, Massachusetts","Nantucket, Massachusetts",-70.099451,41.2834704
698,Massachusetts,Cities,Natick,1,1,0,0,0,0,0,1,0,1,0,0,36717,"Natick, Massachusetts","Natick, Massachusetts",-71.3468091,42.2775281
699,Massachusetts,Cities,Newton,7,2,3,2,0,0,0,7,0,3,1,3,89505,"Newton, Massachusetts","Newton, Massachusetts",-71.20922139999999,42.3370413
700,Massachusetts,Cities,Northampton,1,1,0,0,0,0,0,1,1,0,0,0,28587,"Northampton, Massachusetts","Northampton, Massachusetts",-72.64120129999999,42.3250896
701,Massachusetts,Cities,North Andover,1,1,0,0,0,0,0,1,0,0,0,1,31394,"North Andover, Massachusetts","North Andover, Massachusetts",-71.1350575,42.69870239999999
702,Massachusetts,Cities,Oak Bluffs,1,0,1,0,0,0,0,1,0,1,0,0,4699,"Oak Bluffs, Massachusetts","Oak Bluffs, Massachusetts",-70.5619724,41.4542793
703,Massachusetts,Cities,Palmer,1,1,0,0,0,0,0,1,0,1,0,0,12320,"Palmer, Massachusetts","Palmer, Massachusetts",-72.3286869,42.1584103
704,Massachusetts,Cities,Pittsfield3,3,2,1,0,0,0,0,2,0,1,0,1,42298,"Pittsfield3, Massachusetts","Pittsfield3, Massachusetts",-73.2453824,42.4500845
705,Massachusetts,Cities,Provincetown,2,0,0,2,0,0,0,2,0,1,1,0,2960,"Provincetown, Massachusetts","Provincetown, Massachusetts",-70.1786425,42.0584412
706,Massachusetts,Cities,Quincy,9,7,2,0,0,0,0,9,2,1,2,4,94388,"Quincy, Massachusetts","Quincy, Massachusetts",-71.0022705,42.2528772
707,Massachusetts,Cities,Revere,4,2,0,2,0,0,0,4,0,0,3,1,54296,"Revere, Massachusetts","Revere, Massachusetts",-71.0119948,42.4084302
708,Massachusetts,Cities,Salem,5,2,1,2,0,0,0,5,0,1,1,3,43634,"Salem, Massachusetts","Salem, Massachusetts",-70.8967155,42.51954
709,Massachusetts,Cities,Somerville3,10,5,1,3,0,1,0,9,1,5,2,1,82161,"Somerville3, Massachusetts","Somerville3, Massachusetts",-71.0994968,42.3875968
710,Massachusetts,Cities,South Hadley,2,2,0,0,0,0,0,2,0,1,1,0,17799,"South Hadley, Massachusetts","South Hadley, Massachusetts",-72.57479339999999,42.2591729
711,Massachusetts,Cities,Spencer,1,0,0,1,0,0,0,1,0,0,1,0,11989,"Spencer, Massachusetts","Spencer, Massachusetts",-71.9922867,42.2439682
712,Massachusetts,Cities,Springfield,10,6,1,3,0,0,0,10,3,1,3,3,155179,"Springfield, Massachusetts","Springfield, Massachusetts",-72.589811,42.1014831
